tsne1,tsne2,tsne3,tsne_clusters
3.1806765,11.021272,3.0604563,3
2.713161,-1.1594499,4.114742,2
5.418466,2.8973901,-0.85815275,2
3.900634,1.7781646,-7.3180504,0
-10.296795,-0.55985063,-1.8513875,1
0.8842089,-3.3751197,-1.0256742,1
-5.746945,-2.212729,5.653018,3
2.491693,7.3945775,6.4851193,3
-3.2872496,-11.533149,-5.3657403,1
-1.4381437,-5.028916,-0.79771227,1
9.069058,-4.216568,4.7250156,2
1.2929468,4.4431167,3.5614798,3
-4.0398602,0.45864516,-8.572693,0
6.1040573,-7.3031545,0.7987288,2
-2.2804997,10.508988,2.6778202,3
1.6334307,-9.561437,-2.8794527,1
0.5433583,1.6184375,-7.0082774,0
-0.276881,-10.450236,3.9784067,1
3.6206594,11.009437,2.90596,3
-7.0291605,1.6975145,6.2616296,3
-3.2885895,-6.6457095,-4.361006,1
-3.3227766,-0.27010247,10.2715435,3
-10.469472,0.9311239,3.3015606,3
-5.0702314,7.1949086,-5.6905704,0
7.78421,4.8868337,4.8070126,2
-1.0519443,-4.6092153,0.28947428,1
0.33203536,-3.296207,-10.111978,0
-4.4278955,4.928531,0.46187857,3
5.586555,0.99297965,-2.2679784,2
-1.6570185,-4.6171126,0.11925656,1
4.1537275,3.999337,7.7515407,3
2.9482856,0.9051548,2.0514297,2
1.7372125,1.2963836,-5.096678,0
-4.2020354,3.3148005,-10.156301,0
5.209703,-0.29563114,-4.6930876,2
-0.7597247,3.2262647,0.014645242,3
-2.371325,0.31547165,4.0009704,3
-1.0442375,6.6375823,3.6186054,3
-2.833,-0.5470568,9.063125,3
-0.85234696,-2.3570204,-3.3233826,1
-8.092297,0.87684506,5.4649034,3
1.0680866,0.6378871,-8.520109,0
6.201394,2.0211704,3.5477018,2
-1.7571986,4.161181,7.6765127,3
9.47317,-2.9820728,2.6631153,2
-10.643062,-3.053958,-2.016124,1
-0.34607,4.55861,-9.403471,0
-2.406516,-0.11226027,4.942371,3
-3.9100385,3.5809767,1.0376477,3
-6.989263,0.59789294,-0.66253614,1
-1.9601417,5.555742,7.7549734,3
7.591631,-2.2448208,-0.7185115,2
1.7322413,-9.051839,5.808757,1
4.840881,7.376618,-1.9243443,0
7.3650455,0.68712497,-7.260398,0
8.178464,3.4584105,6.2418346,2
8.238122,3.9837363,6.2964096,2
-3.8217535,-0.25956944,-0.40209997,1
-8.556232,0.18454655,0.1644312,1
-3.0324101,4.6952286,-8.350956,0
0.29749218,-6.880197,3.0128014,1
2.7483695,-0.6263599,3.4874005,2
-0.00921872,-6.155552,-7.203676,1
1.7316507,-7.757774,-3.3704376,1
8.424767,-2.4430478,2.1309462,2
2.9803016,-2.620396,-7.8756247,0
-6.207333,7.1822543,-2.5447881,0
-1.2049717,0.97805727,7.1795864,3
-6.0172176,1.0262624,-9.608917,0
0.03605406,-2.3278263,-6.5964794,0
4.947956,-5.971063,1.9135184,2
-1.0015495,2.7520947,2.0756454,3
-6.1427116,-7.5488267,-1.147623,1
0.6495578,-0.7327417,-8.309198,0
-5.9870577,8.407867,0.10779604,3
-1.2716029,-9.872948,-7.4603343,1
-9.742446,1.536578,-0.93060076,1
-3.4793255,-0.28732198,10.627632,3
-1.800534,3.4466207,1.0913136,3
4.485372,-5.7515397,-6.7966213,1
-0.7083758,-1.6468093,10.646984,3
7.6932516,-2.036048,-0.49855667,2
-9.142345,0.46732432,3.4214342,3
-1.0580367,-5.4387956,-3.5313075,1
-2.3410087,1.6183238,2.3002648,3
1.8266315,-1.5011861,3.9875252,2
-3.489991,-2.526395,6.2091002,3
-5.278318,-2.753596,-2.6269665,1
-9.206391,-4.544439,2.0464947,1
3.4887023,-2.3264518,-4.049527,2
3.2621856,6.075461,8.379812,3
4.00446,0.5295387,3.542066,2
-2.829048,-9.859057,0.09401794,1
-1.3305997,2.2852993,-3.2249238,0
7.107085,1.166576,-7.5052404,0
10.593721,3.8567166,3.944684,2
-4.160693,-9.382832,-5.299344,1
4.775263,7.328378,1.8520092,2
-10.338406,-4.131845,-1.6114593,1
